         67906 function calls (65151 primitive calls) in 0.573 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
       13    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
       41    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x107322ae8}
        4    0.000    0.000    0.000    0.000 Image.py:2851(register_extensions)
        1    0.000    0.000    0.000    0.000 pathlib.py:118(_WindowsFlavour)
        2    0.000    0.000    0.000    0.000 __init__.py:1930(getLogger)
       11    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        2    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
       67    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
       30    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1221(getLogger)
        2    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
        6    0.000    0.000    0.000    0.000 PngImagePlugin.py:90(_crc32)
