,Song_name,red-hot-chili-peppers
122,the zephyr song   ,"""Can I get your hand to write on? Just a piece of lead to bite on What am I to fly my kite on? Do you want to flash your light on? Take a look its on display for you Coming down no not today"", ""Did you meet your fortune teller? Get it off with no propeller Do it up, it's always stellar What a way to finally smell her Pick it up it's not to strong for you Take a piece and pass it on"", ""Fly away on my Zephyr I feel it more than ever And in this perfect weather We'll find a place together, fly on my wing"", ""Riddlin' on liberator Find a way to be a skater"", ""Rev it up to levitator Super friendly aviator Take a look its on display for you Coming down no not today Fly away on my Zephyr I feel it more than ever"", ""And in this perfect weather We'll find a place together In the water where the scent of my emotion All the world will pass me by"", ""Fly away on my Zephyr We'll find a place together"", ""Whoa whoa whoa whoa whoa whoa, do you Yeah yeah yeah yeah yeah yeah"", ""Whoa whoa whoa whoa whoa whoa, won't you"", ""Yeah yeah yeah yeah yeah yeah Fly away on my Zephyr I feel it more than ever And in this perfect weather We'll find a place together In the water where the scent of my emotion All the world will pass me by Fly away on my Zephyr We're gonna live forever Forever."""
123,how long   ,"""Chorus: How long, how long will I slide Seperate my side I dont, I dont believe its bad Slittin my throat its all I ever..."", ""I heard your voice through a photograph I thought it up and brought up the past Once you know you can never go back I gotta take it on the other side..."", ""Centurys are what it meant to me A cemetary where i marry the sea A stranger thing that never changed my mind I gotta take it on the other side I gotta take it on take it on..."", ""Chorus"", ""Pour my life into a paper cup The ashtrays full and im spilling my gut She wanna know am i still a slut I gotta take it on the other side..."", ""A scarlet startlet and shes in my bed A candidate for the soul mate bled Push the trigger and i pull the thread I gotta take it on the other side Take it on the other side Take it on Take it on..."", ""Chorus"", ""Turn me on, take me for a hard ride Burn me out, leave me on the other side I yell it tell it that its not my friend I tear it down, i tear it down And then it born again"", ""Chorusx2"""
124,fire   ,
125,strip my mind   ,"""Oh yeah, oh oh yeah Arthur J. did indicated The boulevard would never be So full of love and life again (Yeah) I'm sick of all your whistling"", ""Hot as Hades, early eighties Sing another song and make me Feel like I'm in love again (Yeah) I lose the way I am"", ""Oh yeah Oh Please don't strip my mind Leave something behind Please don't strip my mind"", ""Oh yeah, oh oh yeah"", ""All in favor sign a waiver Bloody Carolina won't you Take another look inside? (Yeah) It will make you cry"", ""Operator, co-creator Come on radiator won't you Blow another top and sing? (Yeah) You only get what you dream"", ""Oh yeah Oh Please don't strip my mind Leave something behind Please don't strip my mind"", ""El Dorado won the lotto All that cash and not a clue But now you know what I've been through (Yeah)"", ""Oh yeah Oh Please don't strip my mind Leave something behind Please don't strip my mind Leave something behind"""
126,magpies   ,
127,detroit   ,"""Find me in the suburbs and The shadow of decay Rolling rings of rubber and The band begins to play"", ""Am I on the right side of the left side of your brain Can you see the rising of old yesterday's remains Funkadelic said it best I think you know the rest Time don't stand a chance against this motor madness"", ""Don't you worry baby I'm like Detroit, I'm crazy Don't you worry baby I'm like Detroit, I'm crazy I'm like Detroit, I'm crazy Don't you worry baby I'm like"", ""The Stooges and J Dilla, yeah They tore this town apart Put me back together, well I guess that's quite an art"", ""Henry won the war you see But not with pen or sword He did it with the little thing I think it's called a Ford"", ""Funkadelic said it best I think you know the rest Time don't stand a chance against this motor madness"", ""Don't you worry baby I'm like Detroit, I'm crazy Don't you worry baby I'm like Detroit, I'm crazy I'm like Detroit, I'm crazy Don't you worry baby I'm like Detroit, I'm crazy I'm like Detroit, I'm crazy"", ""Everything's so hazy I'm like Detroit, I'm crazy I'm like Detroit, I'm crazy Everything's so hazy"""
128,mommy wheres daddy   ,"""Mummy, where's daddy? Mummy, where's daddy?"", ""Right here, girl... Sweet thing, you look so sad Cheer up, don't you know your dad is bad Give daddy a kiss, girl Oh, dad"", ""There ain't no problem I can't face Your daddy's got a bigger pair of tricks Give daddy a kiss, girl Oh, dad"", ""Mummy, where's daddy? Mummy, where's daddy?"", ""Come on, sit on your daddy's lap 'cos I'm the one who pats your back Give daddy a kiss, girl Oh, dad"", ""Lemme see now where to begin Lemme start by tuckin' you in Give daddy a kiss, girl Oh, dad"", ""Mummy, where's daddy?"""
129,walkabout   ,"""I think I'll go on a walkabout And find out what it's all about And that ain't hard Just me and my own two feet, in the heat I got myself to meet A detective of perspective I need to try and get a bigger eye Open wide Bloodwood flowers in my gaze Walkabout in the sunny days Do me now On a walkabout"", ""You can do it in the city, you can do it in a zone You can do it in a desert You can do the unknown On a walkabout"", ""High desert skies are what I spy So fly, you gotta wonder why, hm The stingrays must be fat this year Are moving slow in my lowest gear The didgeridoo original man with a dream I believe the Aborigine On a walkabout"", ""You could do it with a shuffle, you could do it with a stroll You could do it with a stride You could do the unknown On a walkabout"", ""A walk could cure most all my blues Bare feet or in my two shoes One... two..."", ""I think I'll go on a walkabout And find out what it's all about Can't hurt to try Use your legs to rock it wide Take a ride to the other side"""
130,pink as floyd   ,"""Say what you need to say Make it clear Make it great Cause it's not too late And there s no mistake When you shine Shake it for me anyway"", ""Now we crash the gate To investigate Your fate"", ""Pleasure to meet you Got so much more To offer the world See what's in store Stay all day Someone to love That's my boy chip chop Open the doors And we never close shop Stay all day"", ""Take what you need to take To forsake Make it for me anyway When we fill the void That is Pink As Floyd To destroy Records that we file away And I'll clean the slate As I calculate Your fate"", ""Pleasure to meet you Got so much more To offer the world See what's in store Stay all day Someone to love That's my boy chip chop Open the doors And we never close shop Stay all day"", ""And you shine as you redefine Your time, just another time of day Do you feel the spark When you play the part Superstar Fake it for me anyway"", ""Time to tell them all Without hem or haw No applause Tell them how to generate"", ""How to raise the bar How to keep it hard To be alive, make it for me anyway"", ""If you care at all You will bare it all You will grind, shake it for me anyway Born to play the part Dying for your art Cuz it's time Take it for me anyway You will clear the air With a single stare Your fate"""
131,desecration smile   ,"""All alone not by myself Another girl bad for my health I've seen it all thru someone else, and I... (Another girl bad for my health)"", ""Celebrated but undisturbed Serenaded by the terror bird It's seldom seen and it's never heard, oh (Serenaded by the terror bird)"", ""Never in the wrong time or wrong place Desecration is the smile on my face The love I made is the shape of my space My face, My face"", ""Disintegrated by the rising sun A rolling black out of oblivion And I'd like to think that I'm your #1 (I'm rolling black out of oblivion)"", ""I wanna leave but I just get stuck A broken record runnin' low on luck There's heavy metal coming from your truck And I (Broken record runnin' low on luck)"", ""Never in the wrong time or wrong place Desecration is the smile on my face The love I made is the shape of my space My face, My face"", ""We could all go down to Malibu and make some noise Coca Cola doesn't do the justice she enjoys We could all come up with something new to be destroyed We could all go down"", ""I love the feeling when it falls apart I'm slow to finish but I'm quick to start And beneath the heather lies the meadowlark And I'm (Slow to finish but I am quick to start)"", ""Never in the wrong time or wrong place Desecration is the smile on my face The love I made is the shape of my space My face, My face Never in the wrong time or wrong place Desecration is the smile on my face The love I made is the shape of my space My face, My face"""
132,gong li   ,"""Some people say you hate me I don't believe it's true Things that you're going through"", ""Some people say you hate me I don't believe it's you Things that you're going through"", ""Some people say to pray for The one you want to live The eyes that once were his"", ""Some people say to pray for The way you want to live The eyes you want to give"", ""Some people say you played me I don't care if it's true I'm waiting here for you"", ""Some people say you made it I'm not afraid to know When things are getting low"", ""Some people say you hate me I don't believe it's true Things that you're going through"", ""Some people say you hate me I don't believe it's you Things that you're going through"""
133,tearjerker   ,"""Could you turn up the track a little bit, please My mouth fell open"", ""Hoping that the truth Would not be true Refuse the news I'm feeling sick now"", ""What the fuck am I Supposed to do Just lose and lose First time I saw you"", ""You were sitting Backstage in a dress A perfect mess You never knew this"", ""But I wanted badly for you to Requite my love Left on the floor"", ""Leaving your body When highs are the lows And lows are the way So hard to stay Guess now you know I love you so I liked your whiskers And I liked the"", ""Dimple in your chin Your pale blue eyes You painted pictures Cause the one"", ""Who hurts Can give so much You gave me such Left on the floor Leaving your body When highs are the lows And lows are the way So hard to stay Guess now you know I love you so"""
134,if   ,"""And if I had a clue I'd know exactly what do to If I were the wiser of the two"", ""And if I saw it all so clear I'd write it down and bend your ear If I were the clearer of the two"", ""We can take a walk Into the canyons of 5th Avenue Sing and dance just to name a few"", ""All I do All I do"", ""And if I heard the angels sing I'd sing it back to you and bring Sound of heaven ringing just for you"", ""And if I saw the sun fall down I'd pick it up and make a crown One that was a perfect fit for you"", ""We can take a walk Into the apple orchard by the school We could make a little residue"", ""We can find a place to stay A secret little hideaway Spend a little time inside of you"", ""All I do All I do All eyes All eyes All eyes on you (hey...) All I do (hey...) All I do All I do (hey...) All I do"""
135,lets make evil   ,"""Let's make evil Let's make good I'd do anything I could Just to get you in my dirty wood Go down on you"", ""Seventeen and thirty-one I am just my mother's son Brown eyes and a silver tongue All the mothers come undone At the sight of me"", ""The water's falling clear Interiors deceive I fear I think I'll kiss my shame away My prudence is not dear Inside out and feeling weird I think I'll kiss my shame away"", ""Let's get soft Let's get hard Let's get off in my backyard Where the desert wind Will wash our skin A lighter red"", ""Let's make peace Let's make war Let's break into heaven for A dance with heaven's devils or Is that more than you can store Inside your head"", ""The water's falling clear Interiors deceive I fear I think I'll kiss my shame away My prudence is not dear Inside out and feeling weird I think I'll kiss my shame away"", ""I don't want to live alone Get on my throne Slay my shame Slay my shame"", ""Let's get gentle Let's get pissed Get your knickers in a twist Cause the angel and the devil kiss They fell in love"", ""Some seem dirty Some stay clean Something from a madman's dream Am I really what I seem? Rising to my head like cream It feels so strange"", ""The water's falling clear Interiors deceive I fear I think I'll kiss my shame away My prudence is not dear Inside out and feeling weird I think I'll kiss my shame away"", ""Slay my shame Slay my shame I don't want to live alone Get on my throne Slay my shame Slay my shame"""
136,parallel universe   ,"""Deep inside of a parallel universe It's getting harder and harder To tell what came first"", ""Under water where thoughts can breathe Easily Far away you were made in a sea Just like me"", ""Christ I'm a sidewinder I'm a California King I swear it's everywhere It's everything"", ""Staring straight up into the sky Oh my my a solar system that fits In your eye Microcosm"", ""You could die but you're never dead spider web Take a look at the stars in Your head fields of space kid"", ""Christ I'm a sidewinder I'm a California king I swear it's everywhere It's everything Christ I'm a sidewinder I'm a California king I swear it's everywhere It's everything"", ""Psychic changes are born in your heart Entertain A nervous breakthrough that makes us the same Bless your heart girl"", ""Kill the pressure it's raining on Salty Cheeks When you hear the beloved song I am with you"", ""Christ I'm a sidewinder I'm a California king I swear it's everywhere It's everything"", ""Christ I'm a sidewinder I'm a California king I swear it's everywhere It's everything"""
137,we beleive   ,"""The curtain is open A head to put dope in Now we will come clean it The future, we've seen it No, no, I know, I said, no no"", ""It's like a dream that falls away Into the night where we can play I'm on a train, one happy day Two eyes for sight, three times I pray"", ""Soda pop, we've got to set up shop And when the weather comes We've got a pressure drop We don't know But everyday I go To see what I can bring Into a cameo Oh oh oh no"", ""We believe, We believe We believe, We believe (Climb a tree for monkey business Write a check out to forgiveness All the world on half an acre Pushing dirt into a quaker)"", ""The mission, the method The downfall arrested Cuz it's not the first time Nor is it the worst time No no oh no"", ""To see the bird without a care For in a word, it's nice out there In a tree, my mama bear Will be all right with proper care Hey hey hey do"", ""Boomerang into a bigger bang A little cry of love, because they cannot sing Cherokee, what did the pharaoh see? Another time and space, another place to be"", ""We believe, We believe We believe, We believe"", ""We believe, We believe We believe, We believe (Climb a tree for monkey business Write a check out to forgiveness All the world on half an acre Pushing dirt into a quaker)"", ""The motive, the measure The purpose, the pleasure The risk is it worth it The disc is it perfect I found you amongst them The flower with young stem Disparage the broken The marriage elopin'"""
138,soul to squeeze   ,"""I've got a bad disease Up from my brain is where I bleed Insanity it seems Has got me by my soul to squeeze"", ""Well all the love from thee With all the dying trees I scream The angels in my dreams yeah Have turned to demons of greed that's me"", ""Where I go I just don't know I got to got to gotta take it slow When I find my peace of mind I'm gonna give you some of my good time"", ""Today love smiled on me It took away my pain, said please I'll let your ride be free You gotta let it be oh yeah"", ""Where I go I just don't know I got to got to gotta take it slow When I find my peace of mind I'm gonna give you some of my good time"", ""Oh, so polite indeed Well I got everything I need Oh make my days a breeze And take away my self destruction"", ""It's bitter baby, And it's very sweet I'm on a rollercoaster, but I'm on my feet Take me to the river, Lay me on your shore 'Cause I'll be coming back baby, I'll be coming back for more"", ""Diddle doddle ding a zing a zong zong a zing a zoma zoma zoma con don bing I could not forget But I will not endeavor Simple pleasures are more special But I wont regret it never"", ""Where I go I just don't know I got to got to gotta take it slow When I find my peace of mind I'm gonna give you some of my good time Where I go I just don't know I might end up somewhere in Mexico When I find my piece of mind I'm gonna keep you for the end of time"""
139,snow hey oh   ,"""Come to decide that the things that I tried Were in my life just to get high on When I sit alone come get a little known But I need more than myself this time"", ""Step from the road to the sea to the sky And I do believe it, we rely on When I lay it on come get to play it on All my life to sacrifice"", ""Hey oh, listen what I say, oh I got your hey oh, now listen what I say, oh"", ""When will I know that I really can't go To the well once more time to decide on When it's killing me, when will I really see All that I need to look inside"", ""Come to believe that I better not leave Before I get my chance to ride When it's killing me, what do I really need All that I need to look inside"", ""Hey oh, listen what I say, oh Come back and hey oh, look at what I say, oh"", ""The more I see, the less I know The more I like to let it go Hey oh, whoa"", ""Deep beneath the cover of another perfect wonder Where it's so white as snow Privately divided by a world so undecided And there's nowhere to go"", ""In between the cover of another perfect wonder And it's so white as snow Running through a field where all my tracks will be concealed And there's nowhere to go"", ""When to descend to amend for a friend All the channels that have broken down Now you bring it up, I'm gonna ring it up Just to hear you sing it out"", ""Step from the road to the sea to the sky And I do believe what we rely on When I lay it on, come get to play it on All my life to sacrifice"", ""Hey oh, listen what I say, oh I got your hey oh, listen what I say, oh"", ""The more I see, the less I know The more I like to let it go Hey oh, whoa"", ""Deep beneath the cover of another perfect wonder Where it's so white as snow Privately divided by a world so undecided And there's nowhere to go"", ""In between the cover of another perfect wonder Where it's so white as snow Running through the field where all my tracks will be concealed And there's nowhere to go"", ""I said hey, hey yeah, oh yeah, tell my love now Hey, hey yeah, oh yeah, tell my love now"", ""Deep beneath the cover of another perfect wonder Where it's so white as snow Privately divided by a world so undecided And there's nowhere to go"", ""In between the cover of another perfect wonder Where it's so white as snow Running through the field where all my tracks will be concealed And there's nowhere to go"", ""I said hey, oh yeah, oh yeah, tell my love now Hey, hey yeah, oh yeah"""
140,strange man   ,"""All of my love and Most of my fears Been coming on strong For most of my years Add up and end up in a song"", ""Cellophane tweeds and revenue streams Are blocking my shots and killin' my dreams That showed me how to be the cause"", ""Ooh ahh, yella, ooh ahh, hey ah what now?"", ""It's a lifetime of a strange man, that's right It's a long time, for me, I see She wants to belong and, I want to be free Ex-communicated 'cause there ain't no guarantee"", ""Ooh ahh, yella, ooh ahh, yeah"", ""All of my friends and enemies They were part of this dance That put me right here we go So glad I got this chance Better known plans And lesser known schemes Were all about love and less about me I'd have to say she wore the pants"", ""That's oh!"", ""It's the lifetime of a strange man, that's right It's a long time for me, Uh-hu She wants to belong and, I want to be free Ex-communicated 'cause there ain't no guarantee"", ""Woo! Yeah Ahh Go Oh I've been left (Can't figure out what he says next) (And then a bunch of scat)"", ""It's a lifetime of a strange man, that's right It's a long time, for me, lets see She wants to belong and, I want to be free Ex-communicated 'cause there ain't no guarantee"", ""It's a lifetime of a strange man, that's me It's a long time, for me, uh-uh She wants to be rich and, I want to be free Keep your plans elastic 'cause there ain't no, guarantee"""
141,me my friends   ,"""Me and my, me and my, me and my Me and my, me and my friends Me and my, me and my, me and my Me and my, me and my friends"", ""Me and my, me and my, me and my Me and my, me and my friends Me and my, me and my, me and my Me and my, me and my friends"", ""Like two sweet peas in an even sweeter pot Well, that's my friend and my friend's name is Bob Like the devil knows hell, I know Bob that well Well enough to tell you 'bout his sixty-seven smells"", ""Well enough to tell you he's a hell-a-swell fella Well enough to tell you that we know each other Better than we know ourselves Like freaks of a feather we'll rock together I know Bob well, but I think he knows me better"", ""Me and my, me and my, me and my Me and my, me and my friends Me and my, me and my, me and my Me and my, me and my friends"", ""Me and my, me and my, me and my Me and my, me and my friends Me and my, me and my, me and my Me and my, me and my friends"", ""He's as close to me as a friend can be While I'll be standin' by my buddy, he'll be standin' by me I'm just another half of the two headed freak But I need him like my heart needs to beat"", ""At this point in this friendly verse I gotta sing a little something that I haven't rehearsed It's about my man and his name is Hillel For who my love is soul brother sacred Take it huckleberry, slim boy take it"", ""Me and my, me and my, me and my Me and my, me and my friends Me and my, me and my, me and my Me and my, me and my friends"", ""Jacky's eyes are closed but he's right on course Because he's guided by the invisible force He drives a kooky green Chrysler, bad as anybody's Porsche He is a working class drummer, he is as strong as a horse"", ""Me and my, me and my, me and my Me and my, me and my friends Me and my, me and my, me and my Me and my, me and my friends"", ""Me and my, me and my, me and my Me and my, me and my friends Me and my, me and my, me and my Me and my, me and my friends"""
142,cmon girl   ,"""Everything inside of me Is burning up for you to see And if we should get into it A two-way kind of syndicate, hold me"", ""Compare us to a ferris wheel Just be sure of what you want to steal Some people do it by the book But I prefer to go by feel, tell me"", ""I wanted to get outta here But every time I reappear And know I have the words my dear To whisper right into your ear, hey, yeah"", ""C'mon Girl Let's get it right Let's get it right Let's get it right"", ""C'mon Girl Let's get it right Let's get it right Let's get it right"", ""C'mon Girl Let's get it right Let's get it right Let's get it right"", ""C'mon Girl Let's get it right Let's get it right Let's get it right"", ""The spirit of a dragon's tear Is lovely at this time of year The cave within your mountainside Is deeper than it will be wide, hold me"", ""My disenchanted diplomat Asleep inside the laundromat Conveyor belts are moving And I want you to be sure of that, tell me"", ""And if you let it germinate I know it will be worth the wait Disputed by the news that it was you Who tried to instigate, hey, yeah"", ""C'mon Girl Let's get it right Let's get it right Let's get it right"", ""C'mon Girl Let's get it right Let's get it right Let's get it right"", ""C'mon Girl Let's get it right Let's get it right Let's get it right"", ""C'mon Girl Let's get it right Let's get it right Let's get it right"", ""Blessed are the hypocrites Outwitted but she never quits The trouble with a band of slits Is washing off the muddy bits, hey... yeah"", ""C'mon Girl Let's get it right Let's get it right Let's get it right"", ""C'mon Girl Let's get it right Let's get it right Let's get it right"", ""C'mon Girl Let's get it right Let's get it right Let's get it right"", ""C'mon Girl Let's get it right Let's get it right Let's get it right"", ""Oh yeah, she's with me and I'm your man If I can't find you no one can"""
143,catholic school girls rule   ,"""Catholic school girls rule Catholic school girls rule Catholic school girls rule Catholic school girls rule"", ""In the class she's taking notes Just how deep, deep is my throat Mother Mary don't you know She's got eyes like Marylin Monroe"", ""Catholic school girls rule Catholic school girls rule Catholic school girls rule Catholic school girls rule"", ""Catholic school girls rule Catholic school girls rule Catholic school girls rule Catholic school girls rule"", ""From the cross she's raised her head This is what the sister said Give no love until you're wed Live no life until you're dead"", ""The good books says we must suppress The good books says we must confess But who cares what the good books says Now she's taking off her dress"", ""Catholic school girls rule Catholic school girls rule Catholic school girls rule Catholic school girls rule"", ""Catholic school girls rule Catholic school girls rule Catholic school girls rule Catholic school girls rule"", ""Lead us do not into temptation We are pure divine creation Talking about my generation Injected with the seed of emasculation"", ""Catholic"""
144,dance dance dance   ,"""You got yours and I got mine She got his and she got shine Under moon and overseas She got those and we got these"", ""Dance, dance, dance, dance All night long yes all night long Dance, dance, dance, dance We got strong yes we got strong"", ""Say hello, it's safe to go"", ""Dance, dance, dance, dance All night long yes all night long Dance, dance, dance, dance We got strong as we got strong"", ""The light is right, lift here tonight, let's play"", ""Give yourself a chance to find a way The holiness for free is here to stay"", ""They got these and we got that He got his and she got bad You got mine but I've got yours I got love but you got more"", ""Dance, dance, dance, dance All night long yes all night long Dance, dance, dance, dance We got strong as we got strong"", ""Say hello, it's safe to go, let's play"", ""Give yourself a chance to find a way The holiness for free is here to stay Tell your mom and dad its all ok The holiness for free is here to stay"", ""You got yours and I got mine He got his and she got shine We got all but she got high Some got hot and then gone by"", ""Dance, dance, dance, dance All night long yes all night long Dance, dance, dance, dance We got strong as we got strong Say hello, its safe to go Dance, dance, dance, dance All night long yes all night long Dance, dance, dance, dance We got strong as we got strong The light is right, lift here tonight Lets make the right, the song of prize let's play"""
145,city of angels   ,"""Sometimes I feel like I don't have a partner sometimes I feel like my only friend is the city I live in, the city of angels lonely as I am, together we cry I drive on her streets cause she's my companion I walk through her hills cause she knows who I am she sees my good deeds and she kisses me windy I never worry, now that is a lie."", ""Well, I don't ever want to feel like I did that day take me to the place I love, take me all the way I don't ever want to feel like I did that day take me to the place I love, take me all the way, yeah, yeah, yeah It's hard to believe that there's nobody out there it's hard to believe that I'm all alone at least I have her love, the city she loves me"", ""lonely as I am, together we cry"", ""Well, I don't ever want to feel like I did that day take me to the place I love, take me all the way well, I don't ever want to feel like I did that day take me to the place I love, take me all the way, yeah, yeah, yeah oh no, no, no, yeah, yeah love me, I say, yeah yeah"", ""(under the bridge downtown) is where I drew some blood (under the bridge downtown) I could not get enough (under the bridge downtown) forgot about my love (under the bridge downtown) I gave my life away Yeah, yeah, yeah yeah oh no no no no, yeah yeah here I stay"""
146,blood sugar sex magik   ,"""Blood sugar sucker fish In my dish How many pieces Do you wish Step into a heaven Where I keep it on the soulside Girl please me Be my soul bride Every woman Has a piece of Aphrodite Copulate to create A state of sexual light Kissing her virginity My affinity I mingle with the gods I mingle with divinity"", ""Blood sugar baby She's magik Sex magik sex magik Blood sugar baby She's magik Sex magik sex magik Blood sugar crazy She has it Sex magik sex magik Blood sugar baby She's magik Sex magik sex magik"", ""Glorious euphoria Is my must Erotic shock Is a function of lust Temporarily blind Dimensions to discover In time Each into the other Uncontrollable notes From her snowwhite throat Fill a space In which two bodies float Operatic by voice A fanatic by choice Aromatic is the flower She must be moist"", ""Blood sugar baby She's magik Sex magik sex magik Blood sugar baby She's magik Sex magik sex magik Blood sugar crazy She has it Sex magik sex magik Blood sugar baby She's magik Sex magik sex magik"", ""Blood sugar baby She's magik Sex magik sex magik Blood sugar baby She's magik Sex magik sex magik Blood sugar crazy She has it Sex magik sex magik Blood sugar baby She's magik Sex magik sex magik"", ""Blood sugar baby She's magik Sex magik sex magik Blood sugar baby She's magik Sex magik sex magik Blood sugar crazy She has it Sex magik sex magik Blood sugar baby She's magik Sex magik sex magik"""
147,breaking the girl   ,"""I am a man Cut from the know Rarely do friends Come and then go"", ""She was a girl Soft but estranged We were the two Our lives rearranged"", ""Feeling so good that day A feeling of love that day"", ""Twisting and turning Your feelings are burning You're breaking the girl (She meant you no harm)"", ""Think you're so clever But now you must sever You're breaking the girl (He loves no one else)"", ""Raised by my dad Girl of the day He was my man That was the way"", ""She was the girl Left alone Feeling the need To make me her home"", ""I don't know what, when or why The twilight of love had arrived"", ""Twisting and turning Your feelings are burning You're breaking the girl (She meant you no harm)"", ""Think you're so clever But now you must sever You're breaking the girl (He loves no one else)"", ""Twisting and turning Your feelings are burning You're breaking the girl (She meant you no harm)"", ""Think you're so clever But now you must sever You're breaking the girl (He loves no one else)"""
148,hollywood   ,"""Take me back Hold my hand All the way back To the brotherland Take me back I want to go back"", ""Take me back And my funky ass band All the way back To the broherland Take me back"", ""I want to go As fast as I can Slidin' on back To the brotherland Now children Hollywood..."", ""I want to get up and go With my funky ass jams All the way back To the broherland Take me back I want to go back"", ""Hollywood..."", ""Where the women Is the women And the man Is the man"", ""I want to go As fast as I can Slidin' on back To the brotherland Now children"""
149,i like dirt   ,"""Some come up and some come young Live to love and give good tongue Sit down get down in the sun Rocket to the woman is on the one"", ""I like dirt I like dirt I like dirt"", ""... The earth is made of dirt and wood And I'd be water if I could ... Live in a dream"", ""... In your stream Live in a dream Some come up and some come young"", ""Live to love and give good tongue Sit down get down in the sun Rocket to the woman is on the one I like dirt"", ""I like dirt I like dirt I like dirt ..."", ""Some come slow and overload Must roll over when you're told Let's unzip and let's unfold"", ""A letter to the pet better get it to go I like dirt I like dirt I like dirt ..."", ""Space is made of everything And I'd be fire that I bring Live in a dream In your stream"", ""Live in a dream ... Some come slow and overload Must roll over when you're told"", ""Let's unzip and let's unfold A letter to the pet better get it to go I like dirt I like dirt"", ""I like dirt I like dirt ... Some come up and some come young"", ""Live to love and give good tongue Sit down get down in the sun Rocket to the woman is on the one I like dirt I like dirt I like dirt I like dirt ... Some come up and some come young Live to love and give good tongue Sit down get down in the sun Rocket to the woman is on the one"""
150,one hot minute   ,"""I was riding Riding on my bike Me with my friend We're so alike"", ""Am I all alone"", ""She said all we Have is this We just had to stop And share a kiss"", ""Am I all alone"", ""One hot minute(3x) And I'm in it come and get it(3x) If I chase it I might waste it come and get it"", ""Am I all alone"", ""Sitting in the fire get along and have some fun floating to be higher maybe I'm your special one silent testifier breathe the moon and eat the sun sitting in the fire"", ""Close your eyes And click your heels Can you believe How good it feels"", ""Am I all alone"", ""One hot minute(x3) And I'm in it come and get it If a chase it I might waste it Come and get it"", ""I might waste it Come and get it"", ""Am I all alone"", ""Sitting in the fire Get along and have some fun Floating to be higher Maybe I'm your special one Silent testifier Breathe the moon And eat the sun Sitting in the fire"", ""A tiny wink is all All we have No it's not much more But don't get mad"", ""Am I all alone"", ""Three lbs. of love Inside my skull A million more lives It's never drill Just a few times spun Spun around the sun A couple more or less And then we're done"""
151,shallow be thy game   ,"""I was not created In the likeness of a fraud Your hell is something scary I prefer a loving god"", ""We are not the center Of this funny universe And what is worse I do not serve in fear of such a curse"", ""Shallow be thy game 2000 years look in the mirror You play the game of shame You tell your people live in fear"", ""A rival to the way you see The Bible let him be I'm a threat to your survival And your control company"", ""You'll never burn me You'll never burn me I will be your heretic"", ""You can't contain me I am the power free Truth belongs to everybody"", ""To anyone who's listening You're not born into sin The guilt they try and give you Puke it in the nearest bin"", ""Missionary madness Sweep up culture with a broom Trashing ancient ways Is par for the course It's fucking rude"", ""To think that you're above The laws of nature what a joke Purple sashes feeding masses Smoke on which to choke"", ""I might be a monkey When it comes to being holy Fundamental hatred Get down on your knees and"", ""You'll never burn me You'll never burn me I will be your heretic"", ""You can't contain me I am the power free Truth belongs to everybody"", ""I was not created In the likeness of a fraud Your hell is something scary I prefer a loving god"", ""We are not the center Of this funny universe And what is worse I do not serve in fear of such a"", ""You'll never burn me You'll never burn me I will be your heretic"", ""You can't contain me I am the power free Truth belongs to everybody"", ""You'll never burn me You'll never burn me I will be your heretic"", ""You can't contain me I am the power free Truth belongs to everybody"""
152,eskimo   ,"""In the name of it's for you I Bought it all and it's all untrue I Know, i'm a little slow Desparate and it shows"", ""In the name of spending street Burning bush and a busted knee you Stole, all the rain and snow"", ""Who will be my Eskimo It's what I wanna know It's time to under go Somewhere in Mexico I'm making room for you A Simple Point of view Someone too deeper to"", ""Aw Searching for an eskimo Searching and I wanna know, someone, like you What did they say Desperate and I gotta go Searching for an eskimo, someone, like you"", ""In the name of Jesus Christ I Sold my son and I named my price I Sold, just a little love"", ""Who will be my eskimo That's what I wanna know Before I under go Somewhere in Mexico I making room for you A Simple point of view Someone too deeper to"", ""Ooooooh aw Searching for an eskimo Searching and I wanna know, someone, like you Hey hey hey Desperate and I gotta go Searching for an eskimo, someone, like you"", ""In the name of Oscar Wilde I Saw the mess and I saw he smiled I Go, toe to toe in the whole, world to find and eskimo"""
153,punk rock classic   ,"""i'm a radio joe of the biz called show i'm a rockin popstar with a get up and go rubbin elbows with the big wigs at my sold out shows i've been on every cover even rolling stone"", ""put us on mtv all we really need begging on our knees please, please, please, please, please"", ""conforming to the norm straight out of the mold compromising each and every ounce of soul i'm a doin' anything for the records of gold i only want what i can hold"", ""put us on mtv all we really need begging on our knees please, please, please, please, please"", ""we know that we'll never be better than mr slick superstar david letterman i promise we'll be perfect gentlemen just put us on the show you'll regret us then"", ""put us on mtv all we really need begging on our knees please, please, please, please, please"", ""thank you very much be sure to label us we wouldn't want to cause a ruckus or a fuss just put us in a category aor, chr, top forty or bust"", ""put us on mtv all we really need begging on our knees please, please, please, please, please"", ""what i am is a picture on the tv screen don't make waves don't make a scene what i say when i play isn't worth a bean i'm a video joe in an industry"", ""put us on mtv all we really need begging on our knees please, please, please, please, please"", ""RED HOT CHILI PEPPERS rockar!"""
